Year,State,Average of APR Percentage,Average of Loan Amount,Average of Loan Term Months,Average of Rate Percentage,Abandoned,Accepted,Rejected
2012,AK,4.850375,150125.375,270,4.40625,0,5,3
2012,AL,4.667837209,128209.5581,266.5116279,4.290697674,0,26,17
2012,AR,4.514875,140125.45,289.5,4.28075,0,22,18
2012,AZ,4.292981818,186324.4303,275.6363636,3.971606061,1,67,97
2012,CA,4.170262418,348691.925,275.0890347,3.792075914,42,358,667
2012,CO,4.1635,276787.863,276.1643836,3.808732877,0,58,88
2012,CT,4.230877778,212883.5444,306.6666667,3.881944444,1,27,62
2012,DC,3.974369231,585461.6615,269.5384615,3.707692308,0,13,52
2012,DE,4.229558824,241382.7941,273.5294118,3.849264706,1,19,14
2012,FL,4.327138937,184843.2744,280.651801,3.916732419,30,223,330
2012,GA,4.532452174,162817.913,283.826087,4.111434783,6,83,26
2012,HI,4.048428571,378214.5,244.2857143,3.839285714,0,8,6
2012,IA,4.313833333,157187.7083,270,3.875,0,15,9
2012,ID,4.070695652,199565.3913,268.6956522,3.836521739,0,6,17
2012,IL,4.403223077,197519.6231,275.0769231,4.038307692,2,66,62
2012,IN,4.564588235,127711.0882,274.7058824,4.123382353,4,52,46
2012,KS,4.480764706,168941.4706,296.4705882,4.010441176,15,15,4
2012,KY,4.548944444,145070.0833,265,4.187222222,0,27,9
2012,LA,4.617395349,186395.7674,281.8604651,4.177325581,3,27,13
2012,MA,4.227108108,268145.5135,278.1081081,3.918648649,7,53,88
2012,MD,4.310324841,244592.535,265.2229299,3.845414013,10,48,99
2012,ME,3.967233333,288533.4333,270,3.8125,0,9,21
2012,MI,4.464193878,122405.7959,267.244898,4.014515306,3,79,114
2012,MN,4.633882353,185118.1765,298.8235294,4.141764706,0,37,14
2012,MO,4.426060606,160189.7727,273.6363636,4.119015152,0,43,23
2012,MS,4.797333333,127500.75,255,4.510416667,0,12,0
2012,MT,4.579692308,153077.5385,290.7692308,4.307692308,0,8,5
2012,NC,4.540920354,151540.4735,279.5575221,4.109845133,8,137,81
2012,ND,4.753,287500.5,270,4.5,0,2,0
2012,NE,5.0871,127200.5,306,4.25,2,5,3
2012,NH,4.331157895,176316.2632,240,4.012105263,0,12,7
2012,NJ,4.244823944,234496.9296,269.1549296,3.912711268,0,95,47
2012,NM,4.2786875,158828.3438,279.375,3.9059375,1,11,20
2012,NV,4.147048,193752.192,263.52,3.78076,2,34,89
2012,NY,4.688782609,271758.0373,286.2111801,4.313043478,6,81,74
2012,OH,4.603505376,135884.8226,276.4516129,4.10938172,2,103,81
2012,OK,4.764730769,113365.7692,297.6923077,4.485576923,0,21,5
2012,OR,4.219264151,226438.9623,290.3773585,3.781462264,1,43,62
2012,PA,4.40803252,147042.8455,281.4634146,4.023678862,3,86,157
2012,PR,4.823,200001,360,4,0,2,0
2012,RI,4.512307692,155641.2564,318.4615385,4.047820513,1,11,27
2012,SC,4.554340909,150443.6591,278.1818182,4.050909091,0,36,8
2012,SD,5.127666667,114667.6667,300,4.416666667,0,3,0
2012,TN,4.704393939,170349.0152,265.4545455,4.268636364,0,50,16
2012,TX,4.442949807,176162.4556,279.7297297,4.031679537,22,264,232
2012,UT,4.411611111,284444.9444,291.6666667,4.141805556,0,18,18
2012,VA,4.222533333,223695.7143,261.1428571,3.84852381,6,68,31
2012,VT,4.8825,151251,360,4.5625,0,4,0
2012,WA,4.118182482,293916.3431,274.1605839,3.803540146,2,72,63
2012,WI,4.25695,135350.15,249,4.024833333,0,19,41
2012,WV,4.867928571,159143.6429,308.5714286,4.4725,1,13,0
2012,WY,4.3475,866250.5,360,3.8125,0,3,1
